"НАЗВАНИЕ","ОТЗЫВ","ОЦЕНКА"
"Хочу замуж","Эта российская комедия от режиссёра Карпунина сделана по голливудским лекалам. То есть мужчина робкий, а женщина (главная героиня) берёт всё в свои руки и даже сама делает предложение: «Хочу замуж». Мне эта комедия понравилась своей мягкостью и своими шутками. Сценарий написал сам режиссёр Карпунин. Может поэтому было очень смешно. Это лёгкая российская комедия на 8 марта. Актриса Кристина Асмус играет решительную теле-журналистку. Журналистка Люба очень эмансипирована (по-современному феминизирована), и она делает всё что захочет. Журналистка Люба (её играет Асмус) делает свою жизнь сама. Она не ждёт ветра у причала: она сама формирует повестку дня. Актёр Милош Бикович играет российского интеллигента. Он робок; он нерешителен; он плывёт по течению жизни. Активная Люба и интеллигент Сергей - это два разных мира. Что получится из слов Любы: «Хочу замуж», - мы узнаем досмотрев фильм до конца.

В фильме использованы голливудские лекала романтичных комедий. То есть женщина решительна. То есть у главных героев есть какие-то свои страхи. То есть родители главных героев занимают нейтральную позицию. То есть у главных героев привычный мир рушится в секунду. Эти голливудские лекала обработаны режиссёром очень грамотно. Режиссёр Карпунин сделал очень смешную комедию. Мне фильм понравился. Я от себя не ожидал, что такая простая комедия вызовет столько у меня радости и смеха. Это очень современная, российская комедия, которая отпускает шпильки в адрес русских олигархов. Деньги и любовь - что выберут главные герои?

Случай может поменять жизнь? «Конечно», - отвечает режиссёр. В этом есть какой-то американский успех. «От случая зависит жизнь» - это что-то голливудское. Случай, любовь, олигархи, феминизм - и вот готов шикарный, российский проект.

Мне кажется, чтобы смеяться над шутками этой комедии, её надо смотреть в кинозале. Фильм смешной и очень лёгкий. Это настоящий подарок женщинам (девушкам) на 8-е марта.","👍"
"Игра смерти","Фестивальное кино, оставило двоякое чувство. С одной стороны, это бессмысленный молодёжный триллер-хоррор-комедия, с кучей штампов и глупого абсурда, про старую электронную игру смерти, над сценарием которого трудилось аж четверо лиц. От такого несерьёзного сюжета больше в смех бросало. С другой стороны, мини азарт присутствовал, от того как дальше развернутся ходы событий и т. п.. Немало юмора доставляли актёры, но в остальном отыграли неплохо. Двое начинающих режиссёров сняли кино неплохо, смешав художественное мастерство с кадрами от первого лица. Музыка на страх не действовала. Во всей красе кровавых убийств не покажут, даже расчленение, и то было потешное. Основные эффекты, это стрельба и много брызг крови, которая на кровь не очень-то схожа; эмоций ужаса не вызвали. Итог: кино на любителя.","-"
"Преступный квест","Знаете, я под конец фильма задумывался какую оценку поставить и пришёл к 8 из 10. Искренне недоумевал, когда после просмотра фильма увидел рейтинг! 

В фильме есть идея, сюжет, актёры (эмоциональные, запоминающиеся), предыстория в конце концов, а не как частенько делают - кинули в гущу событий и сам разбирайся. Есть элементы фантастики с телепортацией людей и предметов, есть элементы игры, а ведь мы все любим собирать ачивки. Да, в фильме не показали мышечное превосходство главного героя, нет кучи искорёженной техники и мир спасать не пришлось. В фильме нет излюбленной вставки эротического характера (если Вас лысина Брюса конечно не возбуждает). Главный герой уж стар и медлителен, но даже так Брюс словно на прогулке был в лучших традициях боевика с неубиваемым главным героем, да что там  он царапины даже не получил. Тряхнул так сказать стариной.

К фильму и поговорка применима «Тише едешь - дальше будешь». Сколько охотников поубивали друг друга?

А знаете возможно кто-то не заметил, но фильм раскрывает тёмную сторону человеческой сущности, когда каждый жаждет крови, денег, власти. Строит козни своему окружению и предаёт их. 

Возможно с таким названием кто-то ожидал увидеть мотивы одноимённой игры, но Я оцениваю фильм с высоты человека, который никогда в эту игру не играл.","👍"
"Кролик Джоджо","Я даже не знаю, останется ли тут эта рецензия. Сегодня 6 апреля 2022 года и я только что посмотрела этот фильм. Я ничего не поняла бы в нём, если бы посмотрела его сразу после выхода. Но я и не стала: зачем смотреть какой-то странный фильм с воображаемым Гитлером; грустная история о заезженном прошлом.

А сегодня я не могла оторваться. Я посмотрела кто сценарист, режиссёр - я не понимаю: как? Как можно было так снять, чтобы герои разговаривали фразами, которые теперь я вижу в соцсетях каждый день? Видимо, все войны одинаково ужасны и каждый раз нам кажется, что это происходило только с нами, а это происходит раз за разом.

Героиня Скарлетт Йохансон живёт в стране, которая ведёт войну. И она умудряется разбираться в важных вопросах. Как жить рядом с членами семьи, которые в восторге от войны? Как сохранить любовь к стране, если ты ненавидишь войну? Как вообще уговорить себя и других прожить ещё один день, и ещё, и ещё? И не просто прожить, а верить, любить, танцевать! 

Ещё сложнее ситуация у её сына. Мир, такой простой и понятный - «вот мы, лучшая нация в мире, а вот наши враги, уродливые и с рогами» разваливается на части. Как разговаривать с человеком, которого твоя страна требует убить? А что, если он окажется просто человеком и без рогов? 

Утрированность и абстрактность фильма очень помогает воспринимать происходящее не как историческую ретроспективу, а как историю, которая может случиться с каждым, прямо сегодня. 

И фильм говорит тебе: 

- ты можешь любить свою страну, даже если она в аду

- ты можешь остаться человеком, даже если ты солдат

- не в твоих силах остановить войну, но в твоих силах швырнуть в окно своего внутреннего Гитлера. Или хотя бы не говорить ему «Хайль!»","👍"
"Мастер Темного Пути","Я посмотрел 2 серии этого мульт-сериала и могу сразу пересказать бросившееся в глаза бревна:

с китайской мифологией и культурой я знаком на крайне поверхностном уровне, однако даже высокая степень преисполнености китайской историей не помогли бы той ужасной экспозиции мира и персонажей, какую наблюдает зритель в первой серии. 

Все персонажи и диалоги до жути плоские. Люди на экране одинаковые статисты, которых можно разделить на злобных-скучных, слабых-спесивых, сильных-скучных-одинаковых. Они даже визуально ничем не отличаются, кроме цвета костюма. 

Сценаристам так лень погружать зрителя в свою историю, что первые пять минут мы слушаем унылый голос за кадром, рассказывающий что жил-был чел, был крутой, но держался темного пути и за это был убит своим братом, ай ай ай, итак наше время 

Главный герой классический оверпауэр-небожитель в теле дурачка, которого никто не воспринимает всерьез (тренд на таких героев уже основательно задолбал - вспоминаем Оверлорда, Римуру Темпеста и еще ворох уже совсем непримечательных манг, манхв и тд)

Вышеперечисленные работы тоже ничем особенным не выделялись, но в них хотя бы в начале был налет какого-то юмора или интересных идей. Здесь разве что исторический колорит, но ей богу уже тошнит от этих тропов, одним колоритом тут не откупишься.

Мир, его магия, условности и правила еще никто нам не объяснил, а на экране уже экшон - какие-то талисманы, печати, мечи, луки - как что работает, насколько сильно и круто мы понимаем только за счет выразительной реакции статистов, чьим мнением можно тут же подтереть попу, потому что главгад сразу же справляется со всем, что в него кидают. 

Одним словом очень ленивая поделка, да еще и с рекламой прямо в кадре, которая окончательно ломает и без того отсутствующее погружение в сюжет и лор. 

Если совсем нечего посмотреть, может быть данный анимационный проект и скрасит вечер по пиво, но серьезное произведение данный тайтл совсем не тянет.","👎"
"Врата Штейна","Кошмар. Не смог досмотреть, хотя до конца осталось немного серий.

Сюжет вертится вокруг совсем юных ребят, которые фактически случайно создали машину времени. В лаборатории присутствуют эксцентричный шеф, играющий в манию преследования, пухляш-хакер, красавица-гений и девушка с интеллектом плюшевой тапочки. Нет, я серьёзно, Маюри, может, добрая и открытая, но у неё умственная отсталость. Как врачебный диагноз.

Поначалу всё здорово, все такие разные, начинают интересные эксперименты с машиной времени, радуются/печалятся последствиям. Потом нежданно-негаданно сюжет заворачивается вокруг Маюри, и увлечение ею  м  ну, в увлечении девушкой с интеллектом шестилетнего ребенка точно есть что-то нездоровое, извините. То, что так любит Нетфликс, меня напрягает гораздо меньше.

Понемногу, постепенно логика покидает сериал. Некоторые действия героев настолько бредовы, настолько нелогичны, что объяснение им одно: надо было толкнуть сюжет в ту сторону, которую нужно. Многие проблемы героев можно было решить намного, намного более простыми действиями, чем те, что совершали они. Что это? Недоработка сюжета? Персонажи, хмм, потеряли остроту мышления? Надо было искусственно растянуть повествование? Ну, не знаю. Кошмар.

Рисовка приятная - это плюс. Музыка ни о чем - это минус. Мораль героев порой вызывает огромные вопросы - это большой минус (для смотревших: в первую очередь имею в виду просьбу Окарина Фейрис и то, к чему они в итоге пришли). На этом я понял, что совершенно не хочу досматривать, потому что неприятно, а ещё совершенно понятно, на что в итоге натянут финал авторы.","👎"
"Выигрыш в новогоднюю лотерею","Папа, в антракте выпьем водички 

(примерно 71-ая минута фильма)

Выигрыш в новогоднюю лотерею 

У блистательного актера Паоло Вилладжо довольно большая фильмография. Среди всех режиссеров, с которыми сотрудничал Вилладжо, хотелось бы выделить трех самых важных - Лучано Сальче (лучший совместный фильм «Фантоцци»), Серджио Корбуччи (лучший совместный фильм «Синьор Робинзон») и Нери Паренти.

С Паоло Вилладжо, вы только вдумайтесь, Паренти сделал целых девятнадцать фильмов. Это не просто какой-то творческий тандем, Нери Паренти и Паоло Вилладжо были именно друзьями. Нери обожал Вилладжо, отказывался от других проектов, лишь бы (в очередной раз) поработать со своим другом.

«Выигрыш в новогоднюю лотерею» вышел в 1989 году (между «Фантоцци уходит на пенсию» и «Комиками»). По сюжету, нас знакомят с космическим неудачником - журналистом Четтоли. Мужик решил (под Рождество) покончить жизнь самоубийством. Неожиданно, Четтоли выигрывает в лотерею. Самоубийство явно откладывается, а-хи-хи. Только вот незадача, Четтоли теряет печатную машинку, куда заныкал лотерейный билет. 

Очень смешная комедия. Вилладжо отжигает по полной программе. Смеялся каждые две-три минуты, зацените чумовую сцену с пожарными или когда Четтоли бежал за скорой, просил помощи, а затем сам вез врачей в больницу, а-хи-хи. Некоторые киноманы сравнивают «Выигрыш в новогоднюю лотерею» с фильмом Гайдая «Спортлото 82». При всем уважении к Леониду Иовичу, картина Паренти будет покруче. 

Если спросите у меня, то я бы назвал «Выигрыш в новогоднюю лотерею» комедией разрушений. Серьезно, Четтоли ходячее недоразумение. Постоянно устраивает пожары, потопы, попадает в аварии и т. д. Безумный персонаж, чего уж там. Отдельное спасибо Паренти за несчастную семейку по соседству с Четтоли. Это надо видеть своими собственными глазами, до слез. Как только сынок просит попить водички, происходит что-то жуткое, ведь поблизости ошивается разгильдяй Четтоли, а-хи-хи. 

В Италии огромное кол-во хороших комедиантов (от Бениньи до Челентано), но Паоло Вилладжо - один в своем роде, единственный и неповторимый. Вечная память! Рекомендую. Кино обязательно поднимет вам настроение на целый день.

8 из 10","👍"
"Бесстыжие","После просмотра последней серии, хотелось просто погоревать о том, что сериал закончился и найти что-то не менее интересное. Но, нельзя не высказаться после последней серии 11-го сезона.

Первые 5-6 сезонов - история построенная на выстроенных сюжетных арках персонажей. Каждое чадо развивается и познаёт себя в реалиях жизни в гетто. Есть понимание, почему каждый герой поступает именно так, а не как-то иначе.

Последние 5 сезонов - ощущение, будто персонажей переписали. Не видно отклика, как в первой половине. Хоть история и не перестала быть интересной, но у персонажей будто бы стёрли память и рассказали, кто они. И появился вопрос, а что такое гетто? В первой половине, такого вопроса не возникало по понятным причинам.

Лип не может найти работу механиком, но знает алгоритмы финансовых бирж? Что за бред? С Фионой было оправдано, так как она даже печатать не умела.

Самое обидное, что сериал будто бы не закончен. Никто не сделал то, к чему он шёл всё это время. Ну, кроме Френка, разве что.

Тем не менее, рад, что посмотрел.

P.S. обнажёнку убрали с экранов где-то на 8м сезоне.","👍"
"Всё везде и сразу","Пожалуй, самая популярная модель мира - огромная рептилия, на панцире которой покоится Земля. У Дэниеля Шайнерта и Дэна Квана (Дэниелы/The Daniels) прообраз не в виде тех самых «трех китов», или какие там ещё были представители фауны? Хаос, сюрреализм и безумие - вот идеальный прототип. Как только вы научитесь принимать весь этот биоценоз, то сразу придет осознанность того, почему пальцы-хот-доги - это не просто зрелище. Вы также поймете, что два камня вполне себе могут вести содержательный разговор, а рогалик может представлять собой black hole (ну вы поняли). 

Новая картина Дэниелов будто была сделана с брессоновской сдержанностью, но всё же более раскрепощенная, чем милая басня, в которой Гарри Поттер играл роль трупа. Тут на первый план выходит некое правило: чем больше вы верите в чей-то потенциал, тем сложнее вам будет потом понять, как он его реализует, несмотря на оправданные ожидания. 

Эвелин (Мишель Йео) оказывается в ловушке между «альтернативными жизненными путями» почти так же, как Нео метался между реальным миром и симуляцией. Несуразный муженёк (Джонатан Ке Кван) выступает в роли её Морфеуса. Вскоре обнаруживается ключевое отличие от шедевра Вачовски: Эвелин не «единица», а «ноль». «Матрица» полностью захвачена своим собственным чувством безвоздушной прохлады и кибертехно-готической эстетикой, в то время как «Всё везде и сразу» обладает чувством юмора, которое помогает сделать всю экзистенциальную философию более гладкой. В итоге в бесконечном море возможных «мультиличностей» Эвелин представляет собой сосуд нереализованного потенциала и упущенных возможностей. По своей сути, это семейная драма, в которой время и пространство используются для того, чтобы все эти «клоны» нашли ценность в единении. 

«Всё везде и сразу» настолько перегружен деталями (не зря же он так называется), что с первой минуты в моей голове шестерёнки пытались всё соединить воедино, а внутренний голос прохрипел: «Успокойся, это просто галлюцинации». Опять же, я думаю, это зависит от того, в какой мультивселенной вы находитесь. Мультивселенная «Всё везде и сразу» - удивительно гибкая метафора. Смехотворно крутые экшн-сцены, где возможно буквально всё, потому что персонажи не связаны реальностью или причинно-следственными связями. Шайнерт и Кван позволяют своим персонажам менять тела, костюмы, навыки и обстановку на лету, визуально ослепительно и даже ошеломляюще. Но они создали всё это с ясностью мысли и удивительной легкостью восприятия, чтобы напихать сюда кучу пасхалок (их тут огромное количество, уж поверьте, а то мне символов не хватит). 

Финальная битва, в конечном счёте, является сражением между надеждой и цинизмом, конфликтом и состраданием, любовью и ненавистью. Если на экстенсиональном уровне ничего не имеет значения, возможно, это означает, что мы вольны расставлять приоритеты в вещах, которые важны для нас на человеческом уровне. «Всё везде и сразу» - это фильм, который борется с необходимостью прожить свою лучшую жизнь и находит надежду в идее прожить свою худшую жизнь, даже если вам придется прыгать через мультивселенные, чтобы реализовать это. Таким образом, Дэниелы создали фильм, столь же странный и запутанный, как сама жизнь.","👍"
"Волк и лев","Если вы любите и смотрели такие фильмы как Собачья жизнь или Путь домой, то думаю картина Волк и лев вам понравится. Что мы имеем. Девушка теряет своего единственного родственника в лице дедушки, и ей достается уютный домик на частном острове, где вокруг река и лес. 

Она приезжает к себе домой из Нью-Йорка где учится в музыкальной школе. И тут она случайно встречает волчицу, которая живет на острове. Волчица поселяется у нее дома с волчонком. И еще на острове терпит крушение маленький частный самолет, где везли животных в частный цирк. На борту самолета был маленький львенок, и конечно, он также находит приют в доме девушки. Как они уживутся, и что их ожидает, - все это увидите в фильме.

Ну а про сам фильм. Много красивых локаций - очень красивая природа. Немного наигранная игра актеров, нет знакомых лиц среди актеров. Ну и конечно хотелось бы отметить большую роль дрессировщиков, ведь снимать в кадре настоящих льва и волка - это сложно. Хотеть от них того, что нужно по сценарию. Но наши животные отлично справились со своей задачей. Конечно, и в жизни они с малых лет были выращены ручными, поэтому они так хорошо ладят с людьми. Но им, конечно, место в живой природе на воле, но они уже не смогут адаптироваться там, если они изначально жили в неволе. И это, я так думаю, палка о двух концах. Не знаешь, где бы им было лучше. Ведь сейчас и на воле много сложностей - браконьеры, трудности поиска еды, сокращение дикой территории и пр. Но безусловно сама природа изначально задумала, чтобы животные жили на воле. И фильм, как пример, показывает, как люди обращаются с животными в цирках и зоопарках, то, в каких условиях они живут, - ужасаешься от всего этого.

Ну а фильм посмотреть на один раз. И еще давайте любить и обращаться с братьями нашими меньшими по-человечески, ведь мы же не животные ","-"
"Бесконечная буря","Непогода в горах, непогода, в эту пору с погодой прокол,
Будто плачет о ком-то природа, в нашем лагере «Узункол».
Нам-то что? Мы в тепле и в уюте, и весь вечер гоняем чаи,
Лишь бы те, кто сейчас на маршруте, завтра в лагерь спуститься б смогли 

Женщина в горах. Женщина, штурмующая кручу. В ноябре. Одна. Предупреждённая заранее, что вот-вот, вскоре, погода из благостной, улыбчивой развернётся в ненастье, но пренебрегшая участливостью к ней. И что в этом? Где здравость? Или самонадеянность всему виной? А может быть легкомыслие пятидесятилетнюю (никак не меньше) даму подвело? Определённый «пофигизм» злую шутку выкинул? Наоми Уоттс, британская звезда, актёрством среди камней, среди леса, среди снегов. Дивные пейзажи дикой природы и одиночество, одиночество, одиночество  

С этого и «толкается» сегодняшняя драма. В этом, завязь узелка для интриги. 

Простое, лаконичное, и я бы даже сказал, аскетичное кино эта «Бесконечная буря». Выдержанная в свинцовой серости тонов, картина содержит лишь фрагментарные проблески радужного, цветного колера. Воспоминания главной героини подаются автором работы лучами светлого, яркого, жизненного. Но всё это во вчера, всё это, где-то в отдалении ушедшего, отжившего, прошлого. Поделитесь личным? Расскажите о сокровенном? Что-то перешибло Вам хребет - но что? Какая трагедия? Всему своё время - наберитесь терпения. Дойдём и до этого.

Альпинизмом здесь даже не пахнет. Скалолазанием - тоже. Режиссер, скорее всего своего рода прогулочный променад с лыжными палками в выси нам демонстрирует. Так, подышать, мышцы в тонус привести, себя взнуздать ходьбой под углом вертикали, мысли тревожащие, судя по всему, хотя бы на мгновение обуздать, укротить - вот «терапия» для Пэм шагающей в небеса. Без ледоруба, без молота, без верёвки, карабинов, но с палаткой в рюкзаке, но с двумя термосами кофе-какао. Лесной ландшафт предгорья - первой ступенью покорения. «Козьи» тропы подъёма на «пик» в крутизне - серьёзностью восхождения. Итогом упоения - кратковременное высиживание на крыше мира. Возможная ночёвка - по желанию на гребне выступа, своего рода «перекур», потом - спуск. 

Так, по всей видимости, было уже не раз у этой женщины. Всё ходит и ходит в горы. Из года в год. Несколько лет подряд. Всё преодолевает и преодолевает одно и то же  Что? Себя? Лечится таким образом? Определённо. Лечится. В этот же раз - нежданная встреча уготована ей. Снежный человек? Неужели? Всё-таки остались? Всё-таки есть? Мужчина, в прострации пребывающий. Кто такой - не понять. Зачем здесь и как оказался - никакой ясности. А буря меж тем, снегом и ветром пучится. А холод собачий, морозом тело сковывает. И миссия по спасению себя и этого «бедолаги» гармонией второй части повествования. Спасутся? Выкарабкаются? Выживут?

Непогода в горах, непогода, в эту пору с погодой прокол,
Будто плачет о ком-то природа, в нашем лагере «Узункол» 

Всё это - осознанием происходящего от Малгожаты Шумовска - польской «поэтессы» кинофабрики грёз. Великобритания, Польша, Австралия - творческими сёстрами в союзе соавторства творения. 

Какое впечатление? Насколько всё увиденное реалистично? Пожалуй, элемент фэнтези всё же имеет место быть. Профессионал, специалист «горного дела» раскритикует кино в момент, в миг. Обыватель же - не столь строг. Вот и я не стану глубоко копать.

6 из 10","👍"
"В тихом омуте","Индустрия кино в надежде привлечь зрителя эксплуатирует как высшие, так и низменные чувства, а именно страхи. Ведь страх является самым сильным катализатором эмоций и поступков. «В тихом омуте» рассказывает про феномен фрогинга - некую субкультуру, когда люди тайно селятся в домах других людей, скрытно наблюдая за ними. Название «фрогинг» происходит от англ. frog, то есть лягушка, т. к. подселенцы как бы «прыгают» из одного дома в другой, постоянно меняя место жительства, как только хозяева начинают замечать что-то неладное.

Удивительно, но фильмы с подобным сюжетом набирают большие рейтинги и ими восторгаются кинокритики. Ближайшим «сородичем» является всем известный фильм «Паразиты». Хотя как по мне, что в том что в этом случае - довольно посредственные фильмы, которые не очень интересно смотреть.

Сюжет «В тихом омуте» показан с двух ракурсов: сначала от лица жильцов богатого большого дома, а затем от лица незаметно живущих в их доме фрогеров. В принципе, фильм не отличается ничем особенным, про него даже можно сказать что малобюджетный. Потому что действие происходит преимущественно в доме, мы имеем актёров играющих свои прописанные роли . ну и, собственно, на этом всё. 

Одной только темы фрогинга создателям фильма показалась недостаточной, и приплели ещё педофилию. Мол, чего боятся богатые? Что в их доме кто-то ходит-бродит, ну и  за детишек своих переживают. Всё сходится.

Резюмируя. Сюжет примитивный, в некоторых моментах даже неприятный. Страшно не было, герои чувства сопереживания не вызывают. 

3 из 10","👎"
"Падение Луны","Луна неожиданно сошла с орбиты и грозит врезаться в Землю. Американцы срочно отправляют на Луну экспедицию, чтобы разобраться в происходящем и попытаться предотвратить катастрофу. 

Фильм Роланда Эммериха собран из элементов, каждый из которых по отдельности мы уже где-то видели, но все вместе они образуют довольно забавную конструкцию. Знатоки мировой фантастики с удовольствием считают здесь отсылки и к теории управляемых планетоидов, высказанной великим Артуром Кларком еще лет 60 назад, и теории панспермии (старой как мир, но постоянно привлекающей внимание), и насладятся цитатами из классики от «Космической одиссей» Кубрика до «Миссии на Марс» Брайана де Пальма.

Но даже если для вас все эти отсылки никакого интереса не представляют, фильм можно смотреть просто как яркую космическую сказку. А таких продуктов на кинорынке сейчас мало и это почти обидно. 

Из серьезных проблем фильма стоит отметить, что ближе к финалу он страдает от затянутости и перегруженности сюжета персонажами и событиями, которые только тормозят историю. 

Но в общем и целом, это симпатичное и увлекательное кино.

6 из 10","👍"
"Портландия","Достаточно приличное произведение. Не плохой рейтинг, больше тысячи оценок и ни одной рецензии? Странно  Не то что бы мне очень понравился сериал, но даже на никому не известные фильмы какие то люди пишут отзывы  А это забавное скетч шоу на уровне 6 кадров или даже выше. Актеры не первой величины, но бодро перевоплощаются в интересные образы жителей средней Америки. Стив Бушеми, талантливый актер решил попробовать себя на режиссерском поприще, сыграл одну из ролей, получилось очень даже хорошо. Сюжет затрагивает множество актуальных, жизненных тем, которые будут актуальны в любое время и в любой локации будь то Америка или любая другая страна. Как минимум не скучно за всем этим наблюдать, первый сезон точно советую. Знаменитости в эпизодических ролях, смелый юмор, нестандартные ситуации. Сериала хватило на 8 сезонов, по нынешним меркам долгожитель. Заслуживает Вашего внимания","-"
"Новый Папа","Как было бы здорово, если бы создатели, выпуская продолжение, не разрушали созданный собственными же руками шедевр. «Новый папа» доказывает, что вся гениальность «Молодого папы» была создана случайно. Либо же Святой дух пошуровал, чтобы докрутить гаечки. 

Наверное, все сталкивались с ситуацией, когда Художник долго старался, думал, заглядывал в глубины мироздания, искал способ снести шаблоны и рискнуть ради прорыва в новые сферы. А после опьяняющего успеха считал, что результатом обязан исключительно риску и самодурству. Нет, «Молодой папа» прекрасен не своими провокационными приёмами, поэтому сколько бы вы их бездумно ни напихали в новый сериал, он успех не повторит. 

В «Молодом» была глубина, загадка и возможность со-проживания особого опыта внутреннего изменения. Острые темы были, скорее, фоном. Решение, как поступать с преступными священниками, спор об абортах, понимание гомосексуальности, - это часть быта священнослужителей. В центре же оказывался путь, уникальный и непонятный путь одной конкретной души, которая затрагивает собой находящихся рядом с ней. Если и были диссонансы, шок и непонимание от поступков и воззрений Пия 13 в начале «Молодого папы», то всё это с избытком компенсировалось в дальнейшем. Те провокации оправданы. Для каждого элемента был подобран нужный смысл. Это одновременно противостояние ригидности церкви, вредящей самой себе и народу, и потребительскому отношению людей. И всё это Ленни нужно было примирить внутри себя. Успокоив своих демонов, он смог помочь пройти этот же путь окружающим. А, т. к. он был сама Церковь, его внутренняя работа распространилась широко.

И зачем, ну зачем нужно было это обесценивать и осквернять в продолжении? Я понимаю, что в реальном мире чаще всего происходит какая-то такая фигня, но именно поэтому нужны произведения искусства. Хотя бы там можно создать кусочек пространства, где всё закончилось хорошо, которое вдохновляет именно этим. В сказках мы не говорим, мол, а потом Золушка растолстела после трёх беременностей и сидела, жуя вишенки перед зеркалом.

Это преступление - поступать так с персонажем Эстер. Софи я даже не узнала, полсериала так и думала, что это новая женщина. Я не знаю, как они это сделали, но она мне была просто отвратительна от начала и до конца, хотя в «Молодом папе» как раз нравилась. Зачем тут столько секса? Он ведь просто так. Ладно, когда вы говорите о проблемах, но там куча секса просто навалена в углах, будто мы зашли в дом бардачного человека, который годами не убирает фантики с пола. Зачем вы стали так часто материться? Решили, что вообще всё можно? Ну, простите, это не так работало в первом сериале. Почему все эти взаимоотношения между кардиналами такие невыносимо скучные? Я чуть не состарилась, пока они нового папу выбирали. Ну а сам папа Малкович в подмётки Лоу не годится. Ни его история, ни личность, ни его путь, который даже не он сам придумал.

Музыка стала дешёвой, картинка стала дешёвой. Богатство стало дешёвым инструментом. Шок стал дешёвым. Чудеса стали дешёвыми. Мне было неинтересно следить за тёрками религий. Срединный путь, говорите? Ну так вы даже не пытались сохранить баланс. Вы просто взяли красной и чёрной краски (в смысловом, а не визуальном аспекте) и прям вымазали всё, радостно упиваясь своей крутизной.

После просмотра остаётся всего один вопрос: создатели, вы сами понимаете, когда говорите о глубоких вещах, а когда просто играете во взрослых? Может быть, смысловой части в конце хватило бы, не скатись вы в такую трешатину в начале, но в сравнении с «Молодым папой» это поделка из грязи. Не зря я так боялась смотреть. Постараюсь стереть эту дрянь из памяти, чтобы сохранить светлое послание оригинала.","👎"
